run_name,epoch,global_step,train_loss,dev_accuracy,learning_rate,examples_seen,effective_batch_size
MNLI_GNLI_PROXY_3way,1,1,0.5184730240143836,,2.777777777777778e-06,32,32
MNLI_GNLI_PROXY_3way,1,25,0.2538101658783853,,6.944444444444444e-05,800,32
MNLI_GNLI_PROXY_3way,1,50,0.204920428636251,,0.0001388888888888889,1600,32
MNLI_GNLI_PROXY_3way,1,75,0.18408809567568823,,0.00020833333333333335,2400,32
MNLI_GNLI_PROXY_3way,1,100,0.17268871219072024,,0.0002777777777777778,3200,32
MNLI_GNLI_PROXY_3way,1,125,0.16946619537856897,,0.00034722222222222224,4000,32
MNLI_GNLI_PROXY_3way,1,150,0.16474205604744688,,0.0004166666666666667,4800,32
MNLI_GNLI_PROXY_3way,1,175,0.16179034639902445,,0.0004861111111111111,5600,32
MNLI_GNLI_PROXY_3way,1,200,0.1632376533883871,,0.0004964539007092199,6400,32
MNLI_GNLI_PROXY_3way,1,225,0.161854132372375,,0.0004920212765957447,7200,32
MNLI_GNLI_PROXY_3way,1,250,0.16142213536144118,,0.0004875886524822695,8000,32
MNLI_GNLI_PROXY_3way,1,275,0.1595369323962421,,0.00048315602836879434,8800,32
MNLI_GNLI_PROXY_3way,1,300,0.1570888650790827,,0.0004787234042553192,9600,32
MNLI_GNLI_PROXY_3way,1,325,0.15684086339798972,,0.00047429078014184396,10400,32
MNLI_GNLI_PROXY_3way,1,350,0.1569830369899033,,0.0004698581560283688,11200,32
MNLI_GNLI_PROXY_3way,1,375,0.15681214190251194,,0.00046542553191489364,12000,32
MNLI_GNLI_PROXY_3way,1,400,0.15637370701666442,,0.0004609929078014184,12800,32
MNLI_GNLI_PROXY_3way,1,425,0.15597962464161408,,0.00045656028368794326,13600,32
MNLI_GNLI_PROXY_3way,1,450,0.15606036959958147,,0.0004521276595744681,14400,32
MNLI_GNLI_PROXY_3way,1,475,0.15542610700124274,,0.00044769503546099294,15200,32
MNLI_GNLI_PROXY_3way,1,500,0.15484855913879436,,0.0004432624113475177,16000,32
MNLI_GNLI_PROXY_3way,1,525,0.15399567245850146,,0.00043882978723404256,16800,32
MNLI_GNLI_PROXY_3way,1,550,0.15351539872735553,,0.0004343971631205674,17600,32
MNLI_GNLI_PROXY_3way,1,575,0.1532858448213475,,0.0004299645390070922,18400,32
MNLI_GNLI_PROXY_3way,1,600,0.1519220041100622,,0.000425531914893617,19200,32
MNLI_GNLI_PROXY_3way,1,625,0.1509480138423154,,0.00042109929078014186,20000,32
MNLI_GNLI_PROXY_3way,1,650,0.15038782086270938,,0.0004166666666666667,20800,32
MNLI_GNLI_PROXY_3way,1,675,0.15056408741197191,,0.00041223404255319153,21600,32
MNLI_GNLI_PROXY_3way,1,700,0.14996403752287735,,0.0004078014184397163,22400,32
MNLI_GNLI_PROXY_3way,1,725,0.14941175127054207,,0.00040336879432624115,23200,32
MNLI_GNLI_PROXY_3way,1,750,0.14937935626930265,,0.00039893617021276594,24000,32
MNLI_GNLI_PROXY_3way,1,775,0.14976561810733513,,0.0003945035460992908,24800,32
MNLI_GNLI_PROXY_3way,1,800,0.14948845518510553,,0.0003900709219858156,25600,32
MNLI_GNLI_PROXY_3way,1,825,0.1491850997183858,,0.00038563829787234045,26400,32
MNLI_GNLI_PROXY_3way,1,850,0.14897637938068167,,0.0003812056737588653,27200,32
MNLI_GNLI_PROXY_3way,1,875,0.14909277900898554,,0.00037677304964539007,28000,32
MNLI_GNLI_PROXY_3way,1,900,0.14832205356464329,,0.0003723404255319149,28800,32
MNLI_GNLI_PROXY_3way,1,925,0.14808595223017423,,0.0003679078014184397,29600,32
MNLI_GNLI_PROXY_3way,1,950,0.14782030809948896,,0.00036347517730496453,30400,32
MNLI_GNLI_PROXY_3way,1,975,0.14760610174663152,,0.00035904255319148937,31200,32
MNLI_GNLI_PROXY_3way,1,1000,0.14744943459674414,,0.0003546099290780142,32000,32
MNLI_GNLI_PROXY_3way,1,1000,0.14744943459674414,1.0,0.0003546099290780142,32000,32
MNLI_GNLI_PROXY_3way,1,1025,0.1469297985672045,,0.00035017730496453905,32800,32
MNLI_GNLI_PROXY_3way,1,1050,0.14613660318439195,,0.0003457446808510639,33600,32
MNLI_GNLI_PROXY_3way,1,1075,0.14564913758213321,,0.0003413120567375886,34400,32
MNLI_GNLI_PROXY_3way,1,1100,0.14490261281321842,,0.00033687943262411345,35200,32
MNLI_GNLI_PROXY_3way,1,1125,0.1443502337572625,,0.0003324468085106383,36000,32
MNLI_GNLI_PROXY_3way,1,1150,0.1437179456237628,,0.00032801418439716313,36800,32
MNLI_GNLI_PROXY_3way,1,1175,0.14304733397034203,,0.00032358156028368797,37600,32
MNLI_GNLI_PROXY_3way,1,1200,0.14260427848989687,,0.0003191489361702128,38400,32
MNLI_GNLI_PROXY_3way,1,1225,0.14192070909691062,,0.00031471631205673764,39200,32
MNLI_GNLI_PROXY_3way,1,1250,0.14140191987376766,,0.00031028368794326237,40000,32
MNLI_GNLI_PROXY_3way,2,1275,0.1404593784091419,,0.0003058510638297872,40800,32
MNLI_GNLI_PROXY_3way,2,1300,0.13916853117364483,,0.00030141843971631205,41600,32
MNLI_GNLI_PROXY_3way,2,1325,0.13801226095925095,,0.0002969858156028369,42400,32
MNLI_GNLI_PROXY_3way,2,1350,0.1371953826023394,,0.0002925531914893617,43200,32
MNLI_GNLI_PROXY_3way,2,1375,0.13607053804157324,,0.00028812056737588656,44000,32
MNLI_GNLI_PROXY_3way,2,1400,0.13503254225839942,,0.0002836879432624114,44800,32
MNLI_GNLI_PROXY_3way,2,1425,0.13400842258414836,,0.00027925531914893613,45600,32
MNLI_GNLI_PROXY_3way,2,1450,0.13299191359265797,,0.00027482269503546097,46400,32
MNLI_GNLI_PROXY_3way,2,1475,0.13199392161840923,,0.0002703900709219858,47200,32
MNLI_GNLI_PROXY_3way,2,1500,0.1312571903685348,,0.00026595744680851064,48000,32
MNLI_GNLI_PROXY_3way,2,1525,0.13031282786151763,,0.0002615248226950355,48800,32
